iter	Passed	Remaining
0	0	70
1	1	62
2	1	59
3	2	56
4	2	55
5	3	53
6	3	52
7	4	51
8	5	50
9	5	50
10	6	50
11	6	49
12	7	48
13	7	47
14	8	47
15	8	46
16	9	45
17	9	45
18	10	44
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	40
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	31
42	23	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	24
55	29	23
56	30	22
57	30	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	16
70	37	15
71	38	14
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	41	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	7
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
